date,cumulative_return
2022-10-28,0.44979891055761545
2022-10-31,0.46437067920328134
2022-11-01,0.4627731166609914
2022-11-02,0.4390174256304973
2022-11-03,0.4291682246516335
2022-11-04,0.49365729143982917
2022-11-07,0.5386642665749493
2022-11-08,0.5774402952829623
2022-11-09,0.5893489404939312
2022-11-10,0.6444914229269372
2022-11-11,0.6519642671340853
2022-11-14,0.6715018984252519
2022-11-15,0.6753145596384598
2022-11-16,0.6696329912430639
2022-11-17,0.6741924926680256
2022-11-18,0.6734836298294407
2022-11-21,0.7256916048589857
2022-11-22,0.7558158945654367
2022-11-23,0.7135102459553344
2022-11-25,0.7021702963624239
2022-11-28,0.7248003596662704
2022-11-29,0.7251491504458856
2022-11-30,0.7202941744451938
2022-12-01,0.730220208742757
2022-12-02,0.7431553776914368
2022-12-05,0.7840400644443115
2022-12-06,0.8037276410299297
2022-12-07,0.8393249709226718
2022-12-08,0.775385912233262
2022-12-09,0.7370906110130502
2022-12-12,0.6544898781426025
2022-12-13,0.7128872923671294
2022-12-14,0.7160899024993264
2022-12-15,0.7550317971058977
2022-12-16,0.7333664759023071
2022-12-19,0.7180324952604811
2022-12-20,0.7782742560718989
2022-12-21,0.8027766009914679
2022-12-22,0.8193620055425246
2022-12-23,0.8274323875324545
2022-12-27,0.8664759090267367
2022-12-28,0.8299729720868259
2022-12-29,0.7929510081169249
2022-12-30,0.7836187267554755
2023-01-03,0.6917533424163878
2023-01-04,0.7094924256894961
2023-01-05,0.7126911008690087
2023-01-06,0.6981674490557985
2023-01-09,0.7046297762317113
2023-01-10,0.6827420192558327
2023-01-11,0.7088079662340316
2023-01-12,0.6839058336705219
2023-01-13,0.6562478432263175
2023-01-17,0.6784071857879261
2023-01-18,0.6764868482673625
2023-01-19,0.6955581560431328
2023-01-20,0.6829088344232292
2023-01-23,0.684173547573961
2023-01-24,0.6818315594445241
2023-01-25,0.6824532094240539
2023-01-26,0.7538824319762678
2023-01-27,0.8253896704891825
2023-01-30,0.8216469759981853
2023-01-31,0.8397035113745088
2023-02-01,0.8169761744253141
2023-02-02,0.8181122500870188
2023-02-03,0.851854530661593
2023-02-06,0.8756345554333727
2023-02-07,0.8372973362599005
2023-02-08,0.8568814936386933
2023-02-09,0.8791698985862195
2023-02-10,0.8769956247178035
2023-02-13,0.8432103186536499
2023-02-14,0.8623398678444496
2023-02-15,0.8929450647453143
2023-02-16,0.8707202865210308
2023-02-17,0.9258339965894973
2023-02-21,0.9082967311784205
2023-02-22,0.9205905691842577
2023-02-23,0.7917312711941789
2023-02-24,0.7830085658499402
